0.000 --> 3.040  Closer, not yet
5.400 --> 7.200  Meet me on the rooftop
15.980 --> 19.100  Meet me on the rooftop
19.100 --> 22.000  2 a.m. and the city's still awake
22.760 --> 26.180  Neon signs reflecting in the water on the lake
26.180 --> 30.380  I told him meet me when nobody knows my name
30.380 --> 34.260  Baby tonight I'm not playing any game
34.260 --> 36.320  He came dressed sharp but I dress sharper
36.320 --> 38.240  Every step I take is calculated harder
38.240 --> 40.140  I don't waste words, I let my movements speak
40.140 --> 42.140  Been building this moment for the whole damn week
42.140 --> 45.860  Nobody knows what happens after midnight
45.860 --> 49.780  Nobody sees what we do in the low light
49.780 --> 53.620  Everything I wanna take with my own hands
53.620 --> 57.880  Baby understand, baby understand
59.240 --> 61.160  Real nights, real nights
61.160 --> 63.300  Everything looks better in the low, low lights
63.300 --> 65.120  Real nights, real nights
65.120 --> 67.360  Baby that's when the air comes alive
67.360 --> 69.280  Kiss the sky then hit the floor
69.280 --> 71.240  Give me everything and then give more
71.240 --> 73.120  Real nights, real nights
73.120 --> 77.640  Nobody sees us but the stars tonight
82.420 --> 83.060  Rooftop
85.960 --> 86.680  Alone
89.160 --> 91.640  He asked if I was real
91.640 --> 93.380  I laughed and walked away
93.380 --> 95.680  Some questions don't deserve
95.680 --> 97.340  A single word to say
97.340 --> 99.640  I'm the one they write about
99.640 --> 101.780  But never really know
101.780 --> 104.620  May as just a shadow in the afterglow
105.380 --> 107.080  Real nights, come here
107.080 --> 109.160  Real nights, real nights
109.160 --> 111.220  Everything looks better in the low, low lights
111.220 --> 113.120  Real nights, real nights
113.120 --> 115.140  Baby that's when the air comes alive
115.140 --> 117.120  Nobody knows my real face
117.120 --> 119.420  Nobody's ever gonna take my place
119.420 --> 121.320  Real nights, real nights
121.320 --> 124.120  Only ghosts you chase tonight
129.780 --> 131.260  Real nights
144.120 --> 145.340  Only real
146.120 --> 147.160  Only real
148.120 --> 149.500  Only nights
150.120 --> 151.340  Only nights
